rank,cik,ticker,company,price_usd,adv_usd,investable,market_cap_source,quote_volume,quote_date,quote_time
1,0001045810,NVDA,NVIDIA Corporation,212.4800,16459369899.52,1,5.15T,77463149,2026-05-07,18:57:08
2,0000320193,AAPL,Apple Inc.,288.6250,4875151021.00,1,4.25T,16890952,2026-05-07,18:57:09
3,0000789019,MSFT,Microsoft Corporation,421.4500,5014431908.15,1,3.14T,11898047,2026-05-07,18:57:08
4,0001730168,AVGO,Broadcom Inc.,417.4600,2518951552.70,1,1.97T,6033995,2026-05-07,18:57:09
6,0000723125,MU,"Micron Technology, Inc.",646.6100,15507251904.68,1,725.93B,23982388,2026-05-07,18:57:08
7,0000002488,AMD,"Advanced Micro Devices, Inc.",405.8650,7435025512.13,1,657.71B,18318962,2026-05-07,18:57:10
9,0001341439,ORCL,Oracle Corporation,194.0000,2227418372.00,1,558.10B,11481538,2026-05-07,18:57:08
10,0000050863,INTC,Intel Corporation,110.8400,6296673093.64,1,552.91B,56808671,2026-05-07,18:57:10
11,0000858877,CSCO,"Cisco Systems, Inc.",91.8950,332168905.01,1,363.51B,3614657,2026-05-07,18:57:08
12,0000707549,LRCX,Lam Research Corporation,286.3900,602377547.33,1,359.04B,2103347,2026-05-07,18:57:10
